model_name,embedding_dim,num_node,pro_sim,knn_sim,sec_sim
GraphSAGE,8,1000,0.827393528,0.509716457,0.995410867
GraphSAGE,8,1000,0.846870816,0.422361746,0.990677821
GraphSAGE,8,1000,0.71975097,0.321258372,0.954784331
GraphSAGE,8,1000,0.904495571,0.570238517,0.997657985
GraphSAGE,8,1000,0.801533288,0.437885714,0.989383647
GraphSAGE,8,1000,0.708246451,0.359673749,0.957512695
GraphSAGE,8,1000,0.771499252,0.542653464,0.995397629
GraphSAGE,8,1000,0.739205411,0.34666106,0.960714814
GraphSAGE,8,1000,0.862365686,0.454225313,0.989788397
GraphSAGE,8,1000,0.77696416,0.376323718,0.971042879
GraphSAGE,8,2000,0.828261277,0.464573725,0.997278529
GraphSAGE,8,2000,0.849361461,0.370513273,0.993509937
GraphSAGE,8,2000,0.72129864,0.274855709,0.966596048
GraphSAGE,8,2000,0.904750657,0.525513275,0.998511282
GraphSAGE,8,2000,0.801338962,0.373679488,0.993277569
GraphSAGE,8,2000,0.707484493,0.313681514,0.970048468
GraphSAGE,8,2000,0.773703234,0.50269723,0.997396354
GraphSAGE,8,2000,0.742117136,0.299638839,0.968348182
GraphSAGE,8,2000,0.864745277,0.396748191,0.992024494
GraphSAGE,8,2000,0.780390803,0.328157294,0.978748366
GraphSAGE,8,4000,0.828998108,0.406196802,0.99821328
GraphSAGE,8,4000,0.847815827,0.318659568,0.995472098
GraphSAGE,8,4000,0.72504197,0.229378192,0.973298826
GraphSAGE,8,4000,0.90387138,0.468038059,0.998980382
GraphSAGE,8,4000,0.80243172,0.311335174,0.995534644
GraphSAGE,8,4000,0.713243098,0.261559848,0.976674046
GraphSAGE,8,4000,0.772075073,0.452056493,0.998369578
GraphSAGE,8,4000,0.747220503,0.252132802,0.974993589
GraphSAGE,8,4000,0.863905841,0.335959033,0.99415569
GraphSAGE,8,4000,0.78297901,0.276889663,0.984553389
GraphSAGE,8,8000,0.828739166,0.349019284,0.99861796
GraphSAGE,8,8000,0.847597717,0.273149501,0.996503109
GraphSAGE,8,8000,0.723884758,0.189748524,0.97650639
GraphSAGE,8,8000,0.903535872,0.417741892,0.999250656
GraphSAGE,8,8000,0.801797076,0.256410253,0.99650955
GraphSAGE,8,8000,0.712192271,0.215007586,0.979506964
GraphSAGE,8,8000,0.771123596,0.400855395,0.998834017
GraphSAGE,8,8000,0.748343719,0.207474123,0.97769049
GraphSAGE,8,8000,0.863858763,0.286680978,0.995438014
GraphSAGE,8,8000,0.782645164,0.232505909,0.987349957
GraphSAGE,8,16000,0.827279498,0.29843829,0.999021402
GraphSAGE,8,16000,0.847069646,0.233574976,0.997297103
GraphSAGE,8,16000,0.722270967,0.157116451,0.979595475
GraphSAGE,8,16000,0.903678585,0.370328935,0.999429384
GraphSAGE,8,16000,0.801650166,0.211626307,0.997330327
GraphSAGE,8,16000,0.709613178,0.176377698,0.981930526
GraphSAGE,8,16000,0.770605297,0.350689944,0.999200257
GraphSAGE,8,16000,0.748814068,0.172041739,0.980518182
GraphSAGE,8,16000,0.864910817,0.245298447,0.996461168
GraphSAGE,8,16000,0.78295138,0.196472527,0.990215753
GraphSAGE,16,1000,0.785920928,0.387206039,0.978630755
GraphSAGE,16,1000,0.82535723,0.421865303,0.984427902
GraphSAGE,16,1000,0.702055759,0.369941434,0.971200655
GraphSAGE,16,1000,0.86407538,0.440474379,0.989916938
GraphSAGE,16,1000,0.89174936,0.519268962,0.994309121
GraphSAGE,16,1000,0.916453136,0.552703481,0.995474824
GraphSAGE,16,1000,0.809397293,0.408174175,0.978290917
GraphSAGE,16,1000,0.880663533,0.539290633,0.994663536
GraphSAGE,16,1000,0.818799323,0.411140394,0.97930375
GraphSAGE,16,1000,0.754913781,0.398773343,0.972217105
GraphSAGE,16,2000,0.783752124,0.323501491,0.983350898
GraphSAGE,16,2000,0.824200354,0.35391112,0.987544809
GraphSAGE,16,2000,0.702751051,0.306569455,0.977307069
GraphSAGE,16,2000,0.864415557,0.365147523,0.991655231
GraphSAGE,16,2000,0.892338494,0.466987317,0.995881001
GraphSAGE,16,2000,0.918032336,0.503157492,0.997149931
GraphSAGE,16,2000,0.807339716,0.349141376,0.982327478
GraphSAGE,16,2000,0.8840539,0.489824254,0.996484466
GraphSAGE,16,2000,0.823177135,0.354199804,0.983390852
GraphSAGE,16,2000,0.754732295,0.338760323,0.978640968
GraphSAGE,16,4000,0.781728758,0.261569666,0.985773436
GraphSAGE,16,4000,0.825778524,0.292803538,0.989888774
GraphSAGE,16,4000,0.704727726,0.250174603,0.980692462
GraphSAGE,16,4000,0.862868501,0.303284425,0.992905344
GraphSAGE,16,4000,0.890027791,0.409369796,0.996982123
GraphSAGE,16,4000,0.91778617,0.450765298,0.997858125
GraphSAGE,16,4000,0.806020193,0.292887637,0.985748226
GraphSAGE,16,4000,0.884691628,0.432050606,0.997343131
GraphSAGE,16,4000,0.824430802,0.302889064,0.987298587
GraphSAGE,16,4000,0.755257176,0.281493883,0.982580632
GraphSAGE,16,8000,0.782790418,0.210822539,0.987599837
GraphSAGE,16,8000,0.826386203,0.240042245,0.991043281
GraphSAGE,16,8000,0.707259839,0.203000973,0.98290466
GraphSAGE,16,8000,0.862709328,0.245680677,0.993785587
GraphSAGE,16,8000,0.888735719,0.352560269,0.997502668
GraphSAGE,16,8000,0.916242638,0.394039555,0.998319941
GraphSAGE,16,8000,0.807429341,0.242531294,0.98768247
GraphSAGE,16,8000,0.884348986,0.38109421,0.997883262
GraphSAGE,16,8000,0.822487737,0.254629606,0.988870848
GraphSAGE,16,8000,0.757529906,0.234727985,0.984705339
GraphSAGE,16,16000,0.783115682,0.172225167,0.989380219
GraphSAGE,16,16000,0.825472282,0.198685122,0.992360773
GraphSAGE,16,16000,0.708536615,0.167443999,0.985318908
GraphSAGE,16,16000,0.862286061,0.199465217,0.994848142
GraphSAGE,16,16000,0.888659138,0.30817772,0.998052605
GraphSAGE,16,16000,0.916692432,0.348485762,0.998738831
GraphSAGE,16,16000,0.808210749,0.204640886,0.989603776
GraphSAGE,16,16000,0.884542622,0.334486074,0.998381607
GraphSAGE,16,16000,0.823174791,0.217884787,0.990849527
GraphSAGE,16,16000,0.759531284,0.197899728,0.987032582
GraphSAGE,32,1000,0.89814413,0.570275116,0.995782706
GraphSAGE,32,1000,0.887471655,0.507682622,0.992601229
GraphSAGE,32,1000,0.865205979,0.52455088,0.995008358
GraphSAGE,32,1000,0.900919599,0.537957585,0.993353541
GraphSAGE,32,1000,0.89181318,0.468844644,0.991668707
GraphSAGE,32,1000,0.909073478,0.507935196,0.995321176
GraphSAGE,32,1000,0.906684248,0.581981142,0.996348274
GraphSAGE,32,1000,0.929128109,0.588526149,0.997189068
GraphSAGE,32,1000,0.851460665,0.450379631,0.98585158
GraphSAGE,32,1000,0.886132271,0.524103681,0.993857895
GraphSAGE,32,2000,0.896829694,0.52590784,0.9967184
GraphSAGE,32,2000,0.888772779,0.454725273,0.994858501
GraphSAGE,32,2000,0.865850407,0.478662907,0.996702336
GraphSAGE,32,2000,0.902258683,0.489421491,0.994968515
GraphSAGE,32,2000,0.892584951,0.427224717,0.994317049
GraphSAGE,32,2000,0.909493447,0.460505584,0.996817159
GraphSAGE,32,2000,0.907083661,0.544569993,0.997463946
GraphSAGE,32,2000,0.930383419,0.536445049,0.998172094
GraphSAGE,32,2000,0.855074769,0.399437715,0.989986366
GraphSAGE,32,2000,0.887350827,0.474656522,0.995987635
GraphSAGE,32,4000,0.895726222,0.477412271,0.997301065
GraphSAGE,32,4000,0.889042999,0.406435792,0.996225581
GraphSAGE,32,4000,0.864644573,0.432260141,0.997705821
GraphSAGE,32,4000,0.901324036,0.431866472,0.995919374
GraphSAGE,32,4000,0.894391447,0.380899026,0.995822096
GraphSAGE,32,4000,0.909182302,0.411642678,0.997721932
GraphSAGE,32,4000,0.906678823,0.491069851,0.99819399
GraphSAGE,32,4000,0.93192371,0.48431818,0.998766296
GraphSAGE,32,4000,0.85739721,0.347327299,0.992540267
GraphSAGE,32,4000,0.887465648,0.427866021,0.997192889
GraphSAGE,32,8000,0.895224463,0.425698693,0.997680159
GraphSAGE,32,8000,0.888874881,0.35475507,0.996840376
GraphSAGE,32,8000,0.863727244,0.381782964,0.998174517
GraphSAGE,32,8000,0.898736877,0.374038064,0.996395805
GraphSAGE,32,8000,0.895654212,0.332685115,0.996474465
GraphSAGE,32,8000,0.909322001,0.361522943,0.998225236
GraphSAGE,32,8000,0.905735618,0.436584706,0.998551959
GraphSAGE,32,8000,0.931426366,0.429025074,0.999041294
GraphSAGE,32,8000,0.857450315,0.296231524,0.993572999
GraphSAGE,32,8000,0.887144656,0.373968581,0.997747008
GraphSAGE,32,16000,0.895957961,0.385865632,0.998164941
GraphSAGE,32,16000,0.889824771,0.31813244,0.997555475
GraphSAGE,32,16000,0.863961497,0.344214522,0.998655342
GraphSAGE,32,16000,0.899600916,0.329907885,0.997169639
GraphSAGE,32,16000,0.896803168,0.299318246,0.997217324
GraphSAGE,32,16000,0.908725034,0.323498744,0.998654618
GraphSAGE,32,16000,0.905521283,0.393084083,0.998905503
GraphSAGE,32,16000,0.931194835,0.382887826,0.999301918
GraphSAGE,32,16000,0.858958301,0.260360703,0.994973083
GraphSAGE,32,16000,0.887920995,0.334091435,0.998326386
GraphSAGE,64,1000,0.937737782,0.604403907,0.997085077
GraphSAGE,64,1000,0.937241555,0.611077241,0.996735144
GraphSAGE,64,1000,0.916242189,0.576495495,0.994926065
GraphSAGE,64,1000,0.882252608,0.573752055,0.994626375
GraphSAGE,64,1000,0.934190136,0.624956875,0.997310147
GraphSAGE,64,1000,0.89661375,0.568740654,0.996117589
GraphSAGE,64,1000,0.904990297,0.580301323,0.995154877
GraphSAGE,64,1000,0.938061492,0.594336848,0.996562439
GraphSAGE,64,1000,0.913100882,0.595668488,0.995817365
GraphSAGE,64,1000,0.891365978,0.562249078,0.993910147
GraphSAGE,64,2000,0.938880635,0.570117477,0.998075097
GraphSAGE,64,2000,0.938451618,0.57433452,0.997837743
GraphSAGE,64,2000,0.916933849,0.538159797,0.996325654
GraphSAGE,64,2000,0.884298756,0.538520116,0.996370874
GraphSAGE,64,2000,0.934364473,0.57602767,0.998052493
GraphSAGE,64,2000,0.899246188,0.535735875,0.997362557
GraphSAGE,64,2000,0.905009956,0.546723085,0.996610054
GraphSAGE,64,2000,0.938142474,0.554249233,0.997929055
GraphSAGE,64,2000,0.914405375,0.558186553,0.997156058
GraphSAGE,64,2000,0.894947035,0.522519914,0.995560847
GraphSAGE,64,4000,0.938876262,0.527361366,0.998646166
GraphSAGE,64,4000,0.938814315,0.534192116,0.998491029
GraphSAGE,64,4000,0.916427147,0.490759983,0.997188335
GraphSAGE,64,4000,0.884045626,0.500309019,0.997366638
GraphSAGE,64,4000,0.934262046,0.530677703,0.998685707
GraphSAGE,64,4000,0.898471974,0.492282079,0.99810867
GraphSAGE,64,4000,0.904664881,0.507880241,0.997718985
GraphSAGE,64,4000,0.938078397,0.51238472,0.998457016
GraphSAGE,64,4000,0.913640225,0.516906123,0.997977514
GraphSAGE,64,4000,0.894058251,0.479502881,0.996443502
GraphSAGE,64,8000,0.939154092,0.480670408,0.998955322
GraphSAGE,64,8000,0.938221338,0.48843017,0.99884624
GraphSAGE,64,8000,0.915424483,0.447930046,0.997886391
GraphSAGE,64,8000,0.883396564,0.457717425,0.997928076
GraphSAGE,64,8000,0.933880312,0.483150617,0.998896343
GraphSAGE,64,8000,0.897117552,0.447398364,0.998527207
GraphSAGE,64,8000,0.903884311,0.462916907,0.998220752
GraphSAGE,64,8000,0.937033539,0.470650619,0.998874864
GraphSAGE,64,8000,0.912809003,0.475116672,0.998439835
GraphSAGE,64,8000,0.892965936,0.436225694,0.997035746
GraphSAGE,64,16000,0.939198149,0.444116461,0.999233748
GraphSAGE,64,16000,0.938572574,0.456649627,0.999162559
GraphSAGE,64,16000,0.915766899,0.414488643,0.998450744
GraphSAGE,64,16000,0.884096648,0.422383836,0.998484451
GraphSAGE,64,16000,0.933574872,0.447264329,0.999206178
GraphSAGE,64,16000,0.896662381,0.414917793,0.998940212
